"QueryName","CurrencyCode","ServiceName","ProductName","SkuName","ArmSkuName","MeterName","ServiceFamily","UnitOfMeasure","TierMinimumUnits","PriceType","ReservationTerm","West Europe","Sweden Central","Italy North","Germany West Central","Spain Central","Switzerland North","Belgium Central","France Central","Norway East","Austria East","Denmark East","Poland Central"
"Foundry DeepSeek R1 Global Output","USD","Foundry Models","Azure Deepseek Models","R1 Outp glbl","R1 Outp glbl","R1 Outp glbl Tokens","AI + Machine Learning","1K","0.0","Consumption",,"0.0054","0.0054","0.0054","0.0054","0.0054","0.0054","n/a","0.0054","0.0054","n/a","n/a","0.0054"
"Foundry Hosted Agent vCPU","USD","Foundry Tools","Foundry Agents","Hosted","Hosted HOBO","Hosted vCPU Usage","AI + Machine Learning","1 Hour","0.0","Consumption",,"n/a","0.10934","0.10934","0.10934","0.10934","0.10934","n/a","0.10934","0.10934","n/a","n/a","0.10934"
"Foundry Hosted Agent Memory","USD","Foundry Tools","Foundry Agents","Hosted","Hosted HOBO","Hosted Memory Usage","AI + Machine Learning","1 Hour","0.0","Consumption",,"n/a","0.01298","0.01298","0.01298","0.01298","0.01298","n/a","0.01298","0.01298","n/a","n/a","0.01298"
"Azure AI Search Standard S1 Unit","USD","Azure Cognitive Search","Azure AI Search","Standard S1","","Standard S1 Unit","Web","1 Hour","0.0","Consumption",,"0.336","0.336","0.336","0.336","0.336","0.336","0.336","0.336","0.336","0.336","0.336","0.336"
"Azure AI Search Semantic Ranker Queries","USD","Azure Cognitive Search","Azure AI Search","Semantic Ranker","","Semantic Ranker queries","Web","1K","0.0","Consumption",,"1.0","1.0","1.0","1.0","n/a","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"Azure AI Search Document Cracking","USD","Azure Cognitive Search","Azure AI Search","Document Cracking","","Document Cracking Image Extraction","Web","1K","0.0","Consumption",,"1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"Azure AI Search Document Cracking","USD","Azure Cognitive Search","Azure AI Search","Document Cracking","","Document Cracking Image Extraction","Web","1K","1000.0","Consumption",,"0.8","0.8","0.8","0.8","0.8","0.8","0.8","0.8","0.8","n/a","0.8","0.8"
"Azure AI Search Document Cracking","USD","Azure Cognitive Search","Azure AI Search","Document Cracking","","Document Cracking Image Extraction","Web","1K","5000.0","Consumption",,"0.65","0.65","0.65","0.65","0.65","0.65","0.65","0.65","0.65","n/a","0.65","0.65"
"Recovery Vault SQL VM Protected Instance","USD","Backup","Backup","SQL Server in Azure VM","","SQL Server in Azure VM Protected Instance","Storage","1/Month","0.0","Consumption",,"32.5","32.5","32.5","32.5","32.5","35.75","32.5","31.25","35.75","32.5","32.5","32.5"
"Recovery Vault Standard LRS Data Stored","USD","Backup","Backup","Standard","","Standard LRS Data Stored","Storage","1 GB/Month","0.0","Consumption",,"0.0224","0.0224","0.0224","0.03","0.0224","0.02464","0.0224","0.028","0.02464","0.0224","0.0224","0.02464"
"Recovery Vault VM Replicated to Azure","USD","Azure Site Recovery","Azure Site Recovery","Azure","","VM Replicated to Azure","Management and Governance","1/Month","0.0","Consumption",,"25.0","25.0","25.0","25.0","25.0","25.0","25.0","25.0","25.0","25.0","n/a","25.0"
"SQL MI General Purpose Gen5 Reservation","USD","SQL Managed Instance","SQL Managed Instance General Purpose - Compute Gen5","vCore","SQLMI_GP_Compute_Gen5","vCore","Databases","1 Hour","0.0","Reservation","1 Year","953.0","953.0","953.0","953.0","953.0","1049.0","953.0","1083.0","1049.0","953.0","953.0","953.0"
"SQL MI General Purpose Gen5 Reservation","USD","SQL Managed Instance","SQL Managed Instance General Purpose - Compute Gen5","vCore","SQLMI_GP_Compute_Gen5","vCore","Databases","1 Hour","0.0","Reservation","3 Years","1980.0","1980.0","1980.0","1980.0","1980.0","2178.0","1980.0","2250.0","2178.0","1980.0","1980.0","1980.0"
"PostgreSQL Flexible Server Ddsv4 Reservation","USD","Azure Database for PostgreSQL","Azure Database for PostgreSQL Flexible Server General Purpose Ddsv4 Series Compute","vCore","AzureDB_PostgreSQL_Flexible_Server_General_Purpose_Ddsv4Series_Compute","vCore","Databases","1 Hour","0.0","Reservation","1 Year","557.0","468.0","557.0","557.0","557.0","683.0","557.0","543.0","627.0","557.0","557.0","468.0"
"PostgreSQL Flexible Server Ddsv4 Reservation","USD","Azure Database for PostgreSQL","Azure Database for PostgreSQL Flexible Server General Purpose Ddsv4 Series Compute","vCore","AzureDB_PostgreSQL_Flexible_Server_General_Purpose_Ddsv4Series_Compute","vCore","Databases","1 Hour","0.0","Reservation","3 Years","1113.0","936.0","1114.0","1113.0","1114.0","1366.0","1113.0","1085.0","1254.0","1113.0","1113.0","936.0"
"App Service Premium v3 P1 Windows Reservation","USD","Azure App Service","Azure App Service Premium v3 Plan","P1 v3","Standard_P1_v3_Windows","P1 v3 App","Compute","1 Hour","0.0","Reservation","1 Year","2208.0","2208.0","2208.0","2208.0","2208.0","2399.0","2208.0","2190.0","2321.0","2208.0","2208.0","2208.0"
"App Service Premium v3 P1 Windows Reservation","USD","Azure App Service","Azure App Service Premium v3 Plan","P1 v3","Standard_P1_v3_Windows","P1 v3 App","Compute","1 Hour","0.0","Reservation","3 Years","5334.0","5334.0","5334.0","5334.0","5334.0","5727.0","5334.0","5283.0","5545.0","5334.0","5334.0","5334.0"
"Azure Managed Redis X700 Reservation","USD","Redis Cache","Azure Managed Redis - Compute Optimized","X700","Azure_Managed_Redis_Compute_Optimized_X700","X700 Cache Instance","Databases","1 Hour","0.0","Reservation","1 Year","157974.0","139389.0","152662.0","157974.0","157974.0","189832.0","157974.0","152662.0","189832.0","157974.0","n/a","172575.0"
"Azure Managed Redis X700 Reservation","USD","Redis Cache","Azure Managed Redis - Compute Optimized","X700","Azure_Managed_Redis_Compute_Optimized_X700","X700 Cache Instance","Databases","1 Hour","0.0","Reservation","3 Years","328101.0","289500.0","317067.0","328101.0","328101.0","394267.0","328101.0","317067.0","394267.0","328101.0","n/a","358425.0"
"Fabric Capacity Reservation","USD","Microsoft Fabric","Fabric Capacity Reservation","Fabric Capacity","Fabric_Capacity_CU_Hour","Fabric Capacity CU","Data","1 Hour","0.0","Reservation","1 Year","1146.0","990.0","1094.0","1146.0","990.0","1198.0","1220.0","1042.0","1250.0","1220.0","1220.0","1146.0"
"Fabric Capacity Reservation","USD","Microsoft Fabric","Fabric Capacity Reservation","Fabric Capacity","Fabric_Capacity_CU_Hour","Fabric Capacity CU","Data","1 Hour","0.0","Reservation","3 Years","3438.0","2970.0","3282.0","3438.0","2970.0","3594.0","3659.0","3126.0","3750.0","3659.0","3659.0","3438.0"
"Synapse DW100c Reservation","USD","Azure Synapse Analytics","Azure Synapse Analytics Dedicated SQL Pool","DW100c","SQL_DW100c","100 DWUs","Analytics","1/Hour","0.0","Reservation","1 Year","8333.0","n/a","n/a","8333.0","n/a","9167.0","n/a","8333.0","9167.0","n/a","n/a","n/a"
"Synapse DW100c Reservation","USD","Azure Synapse Analytics","Azure Synapse Analytics Dedicated SQL Pool","DW100c","SQL_DW100c","100 DWUs","Analytics","1/Hour","0.0","Reservation","3 Years","13889.0","n/a","n/a","13889.0","n/a","15278.0","n/a","13889.0","15278.0","n/a","n/a","n/a"
